Id,Nome,Data de Aproximação,Diâmetro Mínimo (km),Diâmetro Máximo (km),Velocidade (m/s),Distância da Terra (km),Categoria Diâmetro,Categoria Proximidade,Potencialmente Perigoso,Tipo de Órbita
3697564,(2014 WY119),2021-05-20,0.0146067964,0.0326617897,5649.613439365749,33952239.261263885,Pequeno,Distante,False,APO
54017088,(2020 KV),2021-05-20,0.02658,0.0594346868,18118.559688847807,43548998.27217153,Pequeno,Distante,False,ATE
54088817,(2020 WR),2021-05-20,0.008405334,0.0187948982,6412.248702029861,32327998.698518176,Pequeno,Distante,False,ATE
54092904,(2020 WT2),2021-05-20,0.1638909515,0.3664713084,12029.989183899612,64850459.443852544,Médio,Distante,True,APO
54104270,(2020 YJ5),2021-05-20,0.57089334,1.2765563162,17070.166380160306,35756302.41774482,Grande,Distante,False,AMO
54143420,(2021 JE1),2021-05-20,0.0122618211,0.0274182656,7631.667330093249,2844547.967320656,Pequeno,Próximo,False,APO
54144288,(2021 JJ3),2021-05-20,0.0222103282,0.0496638037,6263.686104914639,6587963.996644465,Pequeno,Distante,False,AMO
54145462,(2021 JL6),2021-05-20,0.0300992017,0.067303861,4187.534047669917,26913379.87934486,Pequeno,Distante,False,AMO
54147130,(2021 KK1),2021-05-20,0.0245784775,0.0549591464,6744.92020704075,4963975.401591194,Pequeno,Próximo,False,APO
54157348,(2021 LP2),2021-05-20,0.1732028271,0.3872932954,15096.325519276694,60821406.41763704,Médio,Distante,False,AMO
54177985,(2021 PG1),2021-05-20,0.1480999721,0.331161605,23184.1496023495,74628099.15422992,Médio,Distante,False,APO
54354276,(2023 GX),2021-05-20,0.0120935826,0.0270420729,21348.381729080804,66358163.744581446,Pequeno,Distante,False,ATE
54359249,(2023 KO),2021-05-20,0.010388551,0.0232295062,23765.858098311,68704532.0452292,Pequeno,Distante,False,ATE
54383796,(2023 RG13),2021-05-20,0.0340843469,0.0762149166,12827.7353239505,64285054.93745839,Pequeno,Distante,False,ATE
54438673,(2024 HO2),2021-05-20,0.0034415571,0.0076955556,21737.600449709804,65623920.733418725,Pequeno,Distante,False,ATE
54442318,(2024 JS17),2021-05-20,0.0167631247,0.0374834864,10411.1343963165,10812128.937783234,Pequeno,Distante,False,APO
2087024,87024 (2000 JS66),2021-05-21,0.477040198,1.0666943108,7745.700905113861,21787537.473083697,Grande,Distante,False,APO
2401856,401856 (2000 KW43),2021-05-21,0.2347226375,0.5248557734,17729.58375001689,33588153.67989652,Grande,Distante,True,APO
3114027,(2002 CD14),2021-05-21,0.219055911,0.4898239078,12754.089276753306,35389975.650847845,Médio,Distante,True,APO
3733145,(2015 VV),2021-05-21,0.0350392641,0.0783501764,4322.130821516278,34533036.26649702,Pequeno,Distante,False,AMO
54017225,(2020 KJ4),2021-05-21,0.0027832677,0.0062235757,10922.294050832194,34132584.4302786,Pequeno,Distante,False,ATE
54093091,(2020 WU3),2021-05-21,0.058150704,0.130028927,26309.73210372781,62492140.696877286,Médio,Distante,False,ATE
54115830,(2021 CT5),2021-05-21,0.4513931628,1.0093457967,19691.168392627194,44559990.9550052,Grande,Distante,False,AMO
54131735,(2021 EC5),2021-05-21,0.573528464,1.2824486324,11354.021808516112,26609377.7392992,Grande,Distante,False,AMO
54136764,(2021 GA8),2021-05-21,0.0884209093,0.1977151638,13116.057348668306,27884356.71769095,Médio,Distante,False,APO
54139080,(2021 HP1),2021-05-21,0.1501602479,0.3357685218,26999.558704412306,21701264.845208094,Médio,Distante,False,APO
54145467,(2021 JQ6),2021-05-21,0.0197949759,0.0442629117,19414.401697837115,2268297.405914479,Pequeno,Próximo,False,APO
54145470,(2021 JT6),2021-05-21,0.0135692229,0.0303417048,6077.063912317944,7517899.078230092,Pequeno,Distante,False,AMO
54145578,(2021 JO7),2021-05-21,0.0406027058,0.0907904103,7279.555683569527,27152277.669637356,Pequeno,Distante,False,AMO
54145785,(2021 KC),2021-05-21,0.0540200494,0.1207925025,7871.94719133811,3021037.385874199,Médio,Próximo,False,ATE
54153130,(2021 LP),2021-05-21,0.0342416731,0.0765667087,13233.804533012806,4346452.523187309,Pequeno,Próximo,False,APO
54184276,(2021 PP6),2021-05-21,0.0705594158,0.1577756503,10206.870402404807,39696459.8268713,Médio,Distante,False,AMO
54207047,(2021 TP9),2021-05-21,0.0245784775,0.0549591464,5332.504597806388,60421463.46849299,Pequeno,Distante,False,APO
54218582,(2021 VO8),2021-05-21,0.0101989386,0.02280552,5693.6774937543605,55956764.04660521,Pequeno,Distante,False,APO
2612326,612326 (2002 CD14),2021-05-21,0.219055911,0.4898239078,12754.08914087289,35389975.66580763,Médio,Distante,True,APO
